state,type,date,abs,rate
Pulau Pinang,neonatal,01/01/2016,101,4.6
Pulau Pinang,neonatal,01/01/2017,83,3.9
Pulau Pinang,neonatal,01/01/2018,89,4.3
Pulau Pinang,neonatal,01/01/2019,80,4
Pulau Pinang,neonatal,01/01/2020,70,3.6
Pulau Pinang,neonatal,01/01/2021,66,3.6
Pulau Pinang,neonatal,01/01/2022,63,3.6
Sabah,neonatal,01/01/2015,391,7.1
Sabah,neonatal,01/01/2016,171,3.3
Sabah,neonatal,01/01/2017,322,6.1
Sabah,neonatal,01/01/2018,335,6.3
Sabah,neonatal,01/01/2019,213,4
Sabah,neonatal,01/01/2020,282,5.7
Sabah,neonatal,01/01/2021,232,5.6
Sabah,neonatal,01/01/2022,227,5.2
Sarawak,neonatal,01/01/2015,136,3.4
Sarawak,neonatal,01/01/2016,132,3.5
Sarawak,neonatal,01/01/2017,158,4.2
Sarawak,neonatal,01/01/2018,139,3.8
Sarawak,neonatal,01/01/2019,119,3.2
Sarawak,neonatal,01/01/2020,122,3.4
Sarawak,neonatal,01/01/2021,97,3.1
Sarawak,neonatal,01/01/2022,131,4.2
Selangor,neonatal,01/01/2015,354,3.3
Selangor,neonatal,01/01/2016,380,3.6
Selangor,neonatal,01/01/2017,386,3.7
Selangor,neonatal,01/01/2018,422,4.1
Selangor,neonatal,01/01/2019,366,3.7
Selangor,neonatal,01/01/2020,280,3
Selangor,neonatal,01/01/2021,264,2.9
Selangor,neonatal,01/01/2022,286,3.4
Terengganu,neonatal,01/01/2015,142,5.1
Terengganu,neonatal,01/01/2016,120,4.4
Terengganu,neonatal,01/01/2017,114,4.1
Terengganu,neonatal,01/01/2018,118,4.2
Terengganu,neonatal,01/01/2019,129,4.8
Terengganu,neonatal,01/01/2020,107,3.9
Terengganu,neonatal,01/01/2021,127,4.8
Terengganu,neonatal,01/01/2022,126,5
W.P. Kuala Lumpur,neonatal,01/01/2015,79,3.1
W.P. Kuala Lumpur,neonatal,01/01/2016,105,4.1
W.P. Kuala Lumpur,neonatal,01/01/2017,94,3.8
W.P. Kuala Lumpur,neonatal,01/01/2018,98,4
W.P. Kuala Lumpur,neonatal,01/01/2019,76,3.2
W.P. Kuala Lumpur,neonatal,01/01/2020,57,2.5
W.P. Kuala Lumpur,neonatal,01/01/2021,74,3.5
W.P. Kuala Lumpur,neonatal,01/01/2022,70,3.5
W.P. Labuan,neonatal,01/01/2015,11,5.6
W.P. Labuan,neonatal,01/01/2016,9,5.1
W.P. Labuan,neonatal,01/01/2017,7,4.2
W.P. Labuan,neonatal,01/01/2018,12,7.1
W.P. Labuan,neonatal,01/01/2019,7,4.2
W.P. Labuan,neonatal,01/01/2020,9,5.3
W.P. Labuan,neonatal,01/01/2021,8,5.3
W.P. Labuan,neonatal,01/01/2022,10,7.3
W.P. Putrajaya,neonatal,01/01/2015,12,4.2
W.P. Putrajaya,neonatal,01/01/2016,14,5.4
W.P. Putrajaya,neonatal,01/01/2017,12,4.8
W.P. Putrajaya,neonatal,01/01/2018,12,5
W.P. Putrajaya,neonatal,01/01/2019,8,3.5
W.P. Putrajaya,neonatal,01/01/2020,9,4.2
W.P. Putrajaya,neonatal,01/01/2021,8,3.8
W.P. Putrajaya,neonatal,01/01/2022,8,4.4
Johor,infant,01/01/2015,440,7.3
Johor,infant,01/01/2016,443,7.4
Johor,infant,01/01/2017,413,6.8
Johor,infant,01/01/2018,422,6.9
Johor,infant,01/01/2019,386,6.4
Johor,infant,01/01/2020,354,6.2
Johor,infant,01/01/2021,343,6.9
Johor,infant,01/01/2022,323,6.7
Kedah,infant,01/01/2015,241,6.6
Kedah,infant,01/01/2016,254,7.1
Kedah,infant,01/01/2017,215,5.9
Kedah,infant,01/01/2018,229,6.4
Kedah,infant,01/01/2019,222,6.4
Kedah,infant,01/01/2020,173,5.1
Kedah,infant,01/01/2021,203,6.1
Kedah,infant,01/01/2022,193,6.3
Kelantan,infant,01/01/2015,261,6.7
Kelantan,infant,01/01/2016,298,7.7
Kelantan,infant,01/01/2017,302,7.7
Kelantan,infant,01/01/2018,288,7.5
Kelantan,infant,01/01/2019,271,7.4
Kelantan,infant,01/01/2020,215,5.9
Kelantan,infant,01/01/2021,249,7.2
Kelantan,infant,01/01/2022,264,7.8
Melaka,infant,01/01/2015,80,5.5
Melaka,infant,01/01/2016,100,6.9
Melaka,infant,01/01/2017,95,6.6
Melaka,infant,01/01/2018,110,7.6
Melaka,infant,01/01/2019,91,6.4
Melaka,infant,01/01/2020,89,6.4
Melaka,infant,01/01/2021,94,7.1
Melaka,infant,01/01/2022,88,6.7
Pahang,infant,01/01/2015,128,6.9
Pahang,infant,01/01/2016,116,6.4
Pahang,infant,01/01/2017,148,8.2
Pahang,infant,01/01/2018,162,8.9
Pahang,infant,01/01/2019,134,7.7
Pahang,infant,01/01/2020,104,6.1
Pahang,infant,01/01/2021,111,6.6
Pahang,infant,01/01/2022,99,6.2
Negeri Sembilan,infant,01/01/2015,216,7.7
Negeri Sembilan,infant,01/01/2016,204,7.4
Negeri Sembilan,infant,01/01/2017,205,7.4
Negeri Sembilan,infant,01/01/2018,197,7.3
Negeri Sembilan,infant,01/01/2019,187,7.2
Negeri Sembilan,infant,01/01/2020,148,5.8
Negeri Sembilan,infant,01/01/2021,148,6
Negeri Sembilan,infant,01/01/2022,164,7
Perak,infant,01/01/2015,234,6.4
Perak,infant,01/01/2016,245,6.9
Perak,infant,01/01/2017,242,6.9
Perak,infant,01/01/2018,223,6.6
Perak,infant,01/01/2019,231,7
Perak,infant,01/01/2020,203,6.4
Perak,infant,01/01/2021,192,6.2
Perak,infant,01/01/2022,216,7.3
Perlis,infant,01/01/2015,35,8.1
Perlis,infant,01/01/2016,26,5.9
Perlis,infant,01/01/2017,25,5.6
Perlis,infant,01/01/2018,39,8.9
Perlis,infant,01/01/2019,24,5.9
Perlis,infant,01/01/2020,35,8.5
Perlis,infant,01/01/2021,31,7.6
Perlis,infant,01/01/2022,35,9.3
Pulau Pinang,infant,01/01/2015,140,6.3
Pulau Pinang,infant,01/01/2016,141,6.5
Pulau Pinang,infant,01/01/2017,125,5.8
Pulau Pinang,infant,01/01/2018,133,6.4
Pulau Pinang,infant,01/01/2019,112,5.5
Pulau Pinang,infant,01/01/2020,102,5.2
Pulau Pinang,infant,01/01/2021,100,5.4
Pulau Pinang,infant,01/01/2022,102,5.8
Sabah,infant,01/01/2015,614,11.2
Sabah,infant,01/01/2016,298,5.7
Sabah,infant,01/01/2017,502,9.6
Sabah,infant,01/01/2018,534,10.1
Sabah,infant,01/01/2019,401,7.6
Sabah,infant,01/01/2020,471,9.5
Sabah,infant,01/01/2021,374,9
Sabah,infant,01/01/2022,392,9
Sarawak,infant,01/01/2015,223,5.6
Sarawak,infant,01/01/2016,229,6
Sarawak,infant,01/01/2017,238,6.3
Sarawak,infant,01/01/2018,262,7.2
Sarawak,infant,01/01/2019,211,5.8
Sarawak,infant,01/01/2020,204,5.8
Sarawak,infant,01/01/2021,152,4.9
Sarawak,infant,01/01/2022,183,5.9
Selangor,infant,01/01/2015,572,5.3
Selangor,infant,01/01/2016,643,6.1
Selangor,infant,01/01/2017,620,6
Selangor,infant,01/01/2018,662,6.5
Selangor,infant,01/01/2019,596,6
Selangor,infant,01/01/2020,427,4.6
Selangor,infant,01/01/2021,402,4.5
Selangor,infant,01/01/2022,495,5.9
Terengganu,infant,01/01/2015,218,7.9
Terengganu,infant,01/01/2016,199,7.2
Terengganu,infant,01/01/2017,173,6.2
Terengganu,infant,01/01/2018,173,6.1
Terengganu,infant,01/01/2019,198,7.3
Terengganu,infant,01/01/2020,157,5.8
Terengganu,infant,01/01/2021,167,6.3
Terengganu,infant,01/01/2022,167,6.6
W.P. Kuala Lumpur,infant,01/01/2015,140,5.4
W.P. Kuala Lumpur,infant,01/01/2016,159,6.2
W.P. Kuala Lumpur,infant,01/01/2017,160,6.5
W.P. Kuala Lumpur,infant,01/01/2018,150,6.2
W.P. Kuala Lumpur,infant,01/01/2019,124,5.2
W.P. Kuala Lumpur,infant,01/01/2020,92,4
W.P. Kuala Lumpur,infant,01/01/2021,116,5.5
W.P. Kuala Lumpur,infant,01/01/2022,122,6.1
W.P. Labuan,infant,01/01/2015,18,9.2
W.P. Labuan,infant,01/01/2016,14,8
W.P. Labuan,infant,01/01/2017,12,7.1
W.P. Labuan,infant,01/01/2018,16,9.5
W.P. Labuan,infant,01/01/2019,12,7.2
W.P. Labuan,infant,01/01/2020,13,7.6
W.P. Labuan,infant,01/01/2021,9,5.9
W.P. Labuan,infant,01/01/2022,13,9.5
