state,type,date,sex,abs,rate
Negeri Sembilan,infant,2020-01-01,male,54,6.091370558375634
Pahang,infant,2020-01-01,male,76,5.84750326998538
Perak,infant,2020-01-01,male,112,6.811409110259685
Perlis,infant,2020-01-01,male,22,10.456273764258555
Pulau Pinang,infant,2020-01-01,male,53,5.209869261771355
Sabah,infant,2020-01-01,male,225,8.739221626660452
Sarawak,infant,2020-01-01,male,121,6.583959081510502
Selangor,infant,2020-01-01,male,231,4.79661122531614
Terengganu,infant,2020-01-01,male,85,6.024950382761554
W.P. Kuala Lumpur,infant,2020-01-01,male,47,3.899444121795404
W.P. Labuan,infant,2020-01-01,male,5,5.903187721369539
W.P. Putrajaya,infant,2020-01-01,male,6,5.591798695246971
Johor,infant,2020-01-01,female,158,5.748380993960561
Kedah,infant,2020-01-01,female,71,4.357164774470697
Kelantan,infant,2020-01-01,female,87,4.96887315095094
Melaka,infant,2020-01-01,female,38,5.663189269746646
Negeri Sembilan,infant,2020-01-01,female,46,5.589986632640661
Pahang,infant,2020-01-01,female,64,5.210877707213809
Perak,infant,2020-01-01,female,85,5.632869449966865
Perlis,infant,2020-01-01,female,13,6.519558676028084
Pulau Pinang,infant,2020-01-01,female,47,4.980396312387411
Sabah,infant,2020-01-01,female,194,8.267984998295262
Sarawak,infant,2020-01-01,female,79,4.654725430120198
Selangor,infant,2020-01-01,female,186,4.124351412479489
Terengganu,infant,2020-01-01,female,68,5.212325617047371
W.P. Kuala Lumpur,infant,2020-01-01,female,43,3.897045495740439
W.P. Labuan,infant,2020-01-01,female,7,8.111239860950173
W.P. Putrajaya,infant,2020-01-01,female,8,7.483629560336763
Johor,infant,2021-01-01,both,343,6.861372274454891
Kedah,infant,2021-01-01,both,203,6.1440677966101696
Kelantan,infant,2021-01-01,both,249,7.162581981360027
Melaka,infant,2021-01-01,both,94,7.125530624620982
Negeri Sembilan,infant,2021-01-01,both,111,6.6162007510281935
Pahang,infant,2021-01-01,both,148,6.039090871995756
Perak,infant,2021-01-01,both,192,6.230529595015576
Perlis,infant,2021-01-01,both,31,7.605495583905791
